platform,sample,n50,instrument
ONT,HG002,13186,PromethION
PacBio,HG002,16990,Revio
ONT,HG003,13808,PromethION
PacBio,HG003,15301,Revio
ONT,HG004,17928,PromethION
PacBio,HG004,16671,Revio
ONT,YKP075,14492,PromethION
PacBio,YKP075,15830,Vega
ONT,YKF157,12351,PromethION
PacBio,YKF157,16735,Vega
ONT,YKF158,13616,PromethION
PacBio,YKF158,11801,Vega
ONT,YKP086,20266,PromethION
PacBio,YKP086,15303,Vega
ONT,YKF187,19297,PromethION
PacBio,YKF187,15747,Vega
ONT,YKF188,24074,PromethION
PacBio,YKF188,16458,Vega
ONT,YKP095,19094,PromethION
PacBio,YKP095,15902,Vega
ONT,YKF205,16361,PromethION
PacBio,YKF205,16379,Vega
ONT,YKF206,14306,PromethION
PacBio,YKF206,15967,Vega
ONT,YKP094,28088,PromethION
PacBio,YKP094,18053,Vega
ONT,YKF203,24093,PromethION
PacBio,YKF203,19156,Vega
ONT,YKF204,15678,PromethION
PacBio,YKF204,14290,Vega
