read_id	rq	qv	read_length	iden
m84011_220902_175841_s1/252383346/ccs	0.993184	21.6647	29851	99.34
m84011_220902_175841_s1/247600536/ccs	0.991611	20.7629	26529	99.27
m84011_220902_175841_s1/45485721/ccs	0.996218	24.2228	25925	99.25
m84011_220902_175841_s1/18154330/ccs	0.995019	23.0268	16653	99.24
m84011_220902_175841_s1/204472733/ccs	0.997399	25.8486	18335	99.28
m84011_220902_175841_s1/202968910/ccs	0.99462	22.6922	17761	99.28
m84011_220902_175841_s1/243601889/ccs	0.990048	20.0209	23345	99.55
m84011_220902_175841_s1/200217257/ccs	0.998434	28.0521	16346	99.29
m84011_220902_175841_s1/223679738/ccs	0.994592	22.6696	16341	99.30
m84011_220902_175841_s1/193659886/ccs	0.991137	20.5242	19281	99.37
m84011_220902_175841_s1/70981078/ccs	0.992956	21.5218	16518	99.28
m84011_220902_175841_s1/153752542/ccs	0.990747	20.3372	18729	99.39
m84011_220902_175841_s1/211293089/ccs	0.991581	20.7474	18556	99.39
m84011_220902_175841_s1/173671717/ccs	0.992553	21.2802	13842	99.26
m84011_220902_175841_s1/49613231/ccs	0.991058	20.4857	12673	99.22
m84011_220902_175841_s1/220857756/ccs	0.990998	20.4566	18433	99.45
m84011_220902_175841_s1/233181969/ccs	0.995311	23.2892	19541	99.24
m84011_220902_175841_s1/88604926/ccs	0.991674	20.7956	22601	99.33
m84011_220902_175841_s1/55578800/ccs	0.996924	25.1201	19284	99.48
m84011_220902_175841_s1/66916465/ccs	0.991096	20.5041	14580	99.38
m84011_220902_175841_s1/71242913/ccs	0.999851	38.2681	11403	99.67
m84011_220902_175841_s1/135532918/ccs	0.999642	34.4612	15073	99.83
m84011_220902_175841_s1/75434686/ccs	0.99902	30.0877	20293	99.47
m84011_220902_175841_s1/89265661/ccs	0.999651	34.5717	15472	99.86
m84011_220902_175841_s1/66258433/ccs	0.999965	44.5593	16651	99.88
m84011_220902_175841_s1/195890133/ccs	0.999589	33.8616	15857	99.88
m84011_220902_175841_s1/175967237/ccs	0.999831	37.7211	15153	99.88
m84011_220902_175841_s1/97584424/ccs	0.999403	32.2403	20922	98.83
m84011_220902_175841_s1/255724838/ccs	0.995723	23.6886	12325	99.84
m84011_220902_175841_s1/150538382/ccs	0.999952	43.1876	14749	99.46
m84011_220902_175841_s1/236131047/ccs	0.999895	39.7881	21223	98.85
m84011_220902_175841_s1/64163959/ccs	0.998865	29.45	8217	99.38
m84011_220902_175841_s1/242946556/ccs	0.99994	42.2185	15306	99.38
m84011_220902_175841_s1/196023172/ccs	0.999804	37.0774	25610	99.73
m84011_220902_175841_s1/109515669/ccs	0.99773	26.4397	24911	99.71
m84011_220902_175841_s1/153751157/ccs	0.997497	26.0154	16062	99.50
m84011_220902_175841_s1/237377119/ccs	0.999627	34.2829	21850	99.41
m84011_220902_175841_s1/168955338/ccs	0.998237	27.5375	13227	99.35
m84011_220902_175841_s1/265884464/ccs	0.999957	43.6653	15891	99.41
m84011_220902_175841_s1/143397771/ccs	0.999942	42.3657	10151	99.39
m84011_220902_175841_s1/67047352/ccs	0.999985	48.2391	6359	99.29
m84011_220902_175841_s1/114562015/ccs	0.999906	40.2687	13561	99.17
m84011_220902_175841_s1/238751824/ccs	0.999574	33.7059	5564	99.24
m84011_220902_175841_s1/195625953/ccs	0.999937	42.0066	5427	99.22
m84011_220902_175841_s1/102240739/ccs	0.998444	28.0799	20027	99.55
m84011_220902_175841_s1/267127384/ccs	0.998744	29.0101	19718	99.58
m84011_220902_175841_s1/245957576/ccs	0.999784	36.6555	17784	99.56
m84011_220902_175841_s1/160237210/ccs	0.997954	26.8909	27308	99.64
m84011_220902_175841_s1/58134990/ccs	0.999972	45.5284	5869	98.62
m84011_220902_175841_s1/148309188/ccs	0.999712	35.4061	15292	99.55
m84011_220902_175841_s1/211686352/ccs	0.999753	36.073	22461	99.66
m84011_220902_175841_s1/80483150/ccs	0.999543	33.4008	23295	99.68
m84011_220902_175841_s1/77008262/ccs	0.999824	37.5449	15549	99.60
m84011_220902_175841_s1/139529573/ccs	0.999417	32.3433	27685	99.72
m84011_220902_175841_s1/115674267/ccs	0.99973	35.6864	24680	99.71
m84011_220902_175841_s1/206964709/ccs	0.999881	39.2445	21269	99.69
m84011_220902_175841_s1/191302137/ccs	0.999936	41.9382	17729	99.66
m84011_220902_175841_s1/224528060/ccs	0.999891	39.6257	16253	99.66
m84011_220902_175841_s1/66193868/ccs	0.998096	27.2033	21957	99.70
m84011_220902_175841_s1/169739439/ccs	0.999678	34.9214	17320	99.69
m84011_220902_175841_s1/71831115/ccs	0.998789	29.1686	13985	99.64
m84011_220902_175841_s1/135859684/ccs	0.99849	28.2102	28632	99.71
m84011_220902_175841_s1/124785989/ccs	0.99968	34.9485	21992	99.72
m84011_220902_175841_s1/51775120/ccs	0.997445	25.9261	15140	99.64
m84011_220902_175841_s1/186061690/ccs	0.999622	34.2251	20719	99.72
m84011_220902_175841_s1/13636840/ccs	0.999392	32.161	18176	99.74
m84011_220902_175841_s1/102761676/ccs	0.999225	31.107	23405	99.76
m84011_220902_175841_s1/188421749/ccs	0.993478	21.8562	17112	99.75
m84011_220902_175841_s1/191630696/ccs	0.997604	26.2051	26496	99.74
m84011_220902_175841_s1/151191758/ccs	0.999981	47.2125	4758	99.52
m84011_220902_175841_s1/184356999/ccs	0.999975	46.0206	14267	99.75
m84011_220902_175841_s1/266273738/ccs	0.999948	42.84	14608	99.79
m84011_220902_175841_s1/92407048/ccs	0.999893	39.7062	9147	99.76
m84011_220902_175841_s1/170920608/ccs	0.999817	37.3755	17952	99.79
m84011_220902_175841_s1/255461027/ccs	0.996707	24.8241	22200	99.57
m84011_220902_175841_s1/135137238/ccs	0.99983	37.6955	16823	99.85
m84011_220902_175841_s1/174920233/ccs	0.996443	24.4892	3794	99.66
m84011_220902_175841_s1/21956264/ccs	0.995554	23.5203	21701	99.80
m84011_220902_175841_s1/2954299/ccs	0.999756	36.1261	21507	99.84
m84011_220902_175841_s1/57935881/ccs	0.999744	35.9176	11437	99.87
m84011_220902_175841_s1/56036565/ccs	0.999916	40.7572	9065	99.85
m84011_220902_175841_s1/51582753/ccs	0.996946	25.1513	17872	99.83
m84011_220902_175841_s1/102567054/ccs	0.999531	33.2883	17623	99.86
m84011_220902_175841_s1/119016868/ccs	0.998597	28.5294	4573	99.85
m84011_220902_175841_s1/201135420/ccs	0.999134	30.6248	20796	99.83
m84011_220902_175841_s1/84284670/ccs	0.999973	45.6864	12510	99.62
m84011_220902_175841_s1/172228824/ccs	0.999923	41.1351	14655	99.86
m84011_220902_175841_s1/247403004/ccs	0.999764	36.2709	17004	99.85
m84011_220902_175841_s1/80220947/ccs	0.999046	30.2045	19734	99.80
m84011_220902_175841_s1/119082515/ccs	0.99556	23.5262	14209	99.82
m84011_220902_175841_s1/63574641/ccs	0.9992	30.9691	14513	99.86
m84011_220902_175841_s1/108467926/ccs	0.999836	37.8516	11462	99.84
m84011_220902_175841_s1/127534144/ccs	0.999893	39.7062	13812	99.86
m84011_220902_175841_s1/145754087/ccs	0.999914	40.655	17683	99.84
m84011_220902_175841_s1/125438389/ccs	0.99992	40.9691	17102	99.80
m84011_220902_175841_s1/132450418/ccs	0.99937	32.0066	28198	99.67
m84011_220902_175841_s1/259919222/ccs	0.999932	41.6749	14337	99.85
m84011_220902_175841_s1/25300617/ccs	0.999976	46.1979	10817	99.84
m84011_220902_175841_s1/215878413/ccs	0.999204	30.9909	10605	99.86
m84011_220902_175841_s1/264242115/ccs	0.999921	41.0237	15270	99.86
m84011_220902_175841_s1/203886098/ccs	0.999826	37.5945	13635	99.87
m84011_220902_175841_s1/181143977/ccs	0.999849	38.2102	16576	99.78
m84011_220902_175841_s1/102370555/ccs	0.99989	39.5861	13885	99.80
m84011_220902_175841_s1/268241691/ccs	0.999552	33.4872	12001	99.87
m84011_220902_175841_s1/107943059/ccs	0.999054	30.2411	23913	99.79
m84011_220902_175841_s1/231805691/ccs	1	60	3851	99.92
m84011_220902_175841_s1/138412293/ccs	0.99999	50	11965	99.82
m84011_220902_175841_s1/37555470/ccs	0.99839	27.9317	13547	99.70
m84011_220902_175841_s1/122421481/ccs	0.999562	33.5853	11303	99.88
m84011_220902_175841_s1/238620155/ccs	0.9987	28.8606	22402	99.60
m84011_220902_175841_s1/210043748/ccs	0.999608	34.0671	23938	99.74
m84011_220902_175841_s1/158470933/ccs	0.999705	35.3018	21192	99.87
m84011_220902_175841_s1/230623978/ccs	0.999015	30.0656	18951	99.89
m84011_220902_175841_s1/229049321/ccs	0.999392	32.161	12874	99.88
m84011_220902_175841_s1/152113895/ccs	0.998802	29.2154	11456	99.79
m84011_220902_175841_s1/52561513/ccs	0.998297	27.6879	20989	99.59
m84011_220902_175841_s1/224789488/ccs	0.999774	36.4589	13484	99.89
m84011_220902_175841_s1/41289144/ccs	0.999024	30.1055	26264	99.78
m84011_220902_175841_s1/153027490/ccs	0.999635	34.3771	16430	99.56
m84011_220902_175841_s1/241899323/ccs	0.998419	28.0107	13473	99.76
m84011_220902_175841_s1/64950396/ccs	0.999705	35.3018	15092	99.75
m84011_220902_175841_s1/218303822/ccs	0.999095	30.4335	9908	99.74
m84011_220902_175841_s1/237375726/ccs	0.998559	28.4134	18044	99.84
m84011_220902_175841_s1/153488836/ccs	0.999824	37.5449	14185	99.74
m84011_220902_175841_s1/198970554/ccs	0.998465	28.1389	14125	99.88
m84011_220902_175841_s1/167776367/ccs	0.999461	32.6841	12950	99.86
m84011_220902_175841_s1/244976870/ccs	0.999742	35.8838	11813	99.71
m84011_220902_175841_s1/255791565/ccs	0.999071	30.3198	18791	99.71
m84011_220902_175841_s1/175051032/ccs	0.99792	26.8194	16689	99.69
m84011_220902_175841_s1/249302941/ccs	0.997616	26.2269	14547	99.71
m84011_220902_175841_s1/112268953/ccs	0.999555	33.5164	22504	99.57
m84011_220902_175841_s1/73796871/ccs	0.999791	36.7985	7846	99.35
m84011_220902_175841_s1/184486501/ccs	0.999901	40.0436	10380	99.67
m84011_220902_175841_s1/172822966/ccs	0.999966	44.6852	3296	99.76
m84011_220902_175841_s1/54001699/ccs	0.999153	30.7212	3765	100.00
m84011_220902_175841_s1/130942949/ccs	0.999957	43.6653	9606	99.93
m84011_220902_175841_s1/99158147/ccs	0.999867	38.7615	17557	99.84
m84011_220902_175841_s1/150802200/ccs	0.993288	21.7315	18333	99.74
m84011_220902_175841_s1/160697835/ccs	0.996232	24.2389	19145	99.80
m84011_220902_175841_s1/254084769/ccs	0.996092	24.0805	16580	99.76
m84011_220902_175841_s1/196022323/ccs	0.99932	31.6749	17398	99.85
m84011_220902_175841_s1/115217103/ccs	0.999884	39.3554	5889	99.90
m84011_220902_175841_s1/201392225/ccs	0.999748	35.986	21312	99.48
m84011_220902_175841_s1/221578315/ccs	0.995852	23.8216	18297	99.48
m84011_220902_175841_s1/92739364/ccs	0.999896	39.8297	13065	99.83
m84011_220902_175841_s1/95031517/ccs	0.999328	31.7263	13154	99.83
m84011_220902_175841_s1/240191975/ccs	0.99544	23.4104	20428	99.31
m84011_220902_175841_s1/170530148/ccs	0.99991	40.4576	12443	99.64
m84011_220902_175841_s1/219480152/ccs	0.993584	21.9274	16742	99.52
m84011_220902_175841_s1/144311155/ccs	0.990665	20.2989	14560	99.41
m84011_220902_175841_s1/254546639/ccs	0.991292	20.6008	13528	99.36
m84011_220902_175841_s1/19008916/ccs	0.991154	20.5325	12031	99.47
m84011_220902_175841_s1/153293493/ccs	0.997206	25.5377	14228	99.31
m84011_220902_175841_s1/177471511/ccs	0.995821	23.7893	14450	99.26
m84011_220902_175841_s1/83756750/ccs	0.993008	21.554	10499	99.30
m84011_220902_175841_s1/28512383/ccs	0.994543	22.6305	8930	99.19
m84011_220902_175841_s1/141099575/ccs	0.996888	25.0696	9819	99.23
m84011_220902_175841_s1/200021532/ccs	0.996265	24.2771	10787	99.26
m84011_220902_175841_s1/31001684/ccs	0.999867	38.7615	9258	99.31
m84011_220902_175841_s1/238291520/ccs	0.998485	28.1959	16325	99.24
m84011_220902_175841_s1/31069020/ccs	0.995064	23.0662	26909	99.93
m84011_220902_175841_s1/8327292/ccs	0.990701	20.3156	19255	99.91
m84011_220902_175841_s1/176557728/ccs	0.994077	22.2746	12503	99.87
m84011_220902_175841_s1/200278479/ccs	0.9992	30.9691	14410	99.47
m84011_220902_175841_s1/69078375/ccs	0.990932	20.4249	27279	99.93
m84011_220902_175841_s1/229706145/ccs	0.997236	25.5846	11783	99.36
m84011_220902_175841_s1/11863127/ccs	0.994791	22.8325	13226	99.25
m84011_220902_175841_s1/51317290/ccs	0.991285	20.5973	8474	99.60
m84011_220902_175841_s1/156701728/ccs	0.995806	23.7737	19729	98.12
m84011_220902_175841_s1/71504925/ccs	0.999481	32.8483	16255	98.13
m84011_220902_175841_s1/174852219/ccs	0.999764	36.2709	14671	98.00
m84011_220902_175841_s1/246222873/ccs	0.999613	34.1229	16304	98.15
m84011_220902_175841_s1/204866210/ccs	0.997243	25.5956	14012	98.14
m84011_220902_175841_s1/84479066/ccs	0.999653	34.5967	11990	98.07
m84011_220902_175841_s1/242354278/ccs	0.999514	33.1336	19864	98.13
m84011_220902_175841_s1/128057918/ccs	0.999862	38.6012	14916	98.15
m84011_220902_175841_s1/138086219/ccs	0.999887	39.4692	12423	98.02
m84011_220902_175841_s1/127668205/ccs	0.996032	24.0143	14834	98.16
m84011_220902_175841_s1/115346753/ccs	0.99973	35.6864	12865	98.09
m84011_220902_175841_s1/31722828/ccs	0.990465	20.2068	7461	99.44
m84011_220902_175841_s1/242747802/ccs	0.999879	39.1721	13373	99.64
m84011_220902_175841_s1/39127701/ccs	0.999624	34.2481	18511	98.85
m84011_220902_175841_s1/59773094/ccs	0.999268	31.3549	22012	98.60
