read_id	rq	qv	read_length	iden
m21038_250911_051612/44893612/ccs	1	60	2912	99.93
m21038_251024_072723/134219325/ccs	0.999885	39.393	8678	98.58
m21038_251024_072723/181797608/ccs	0.998521	28.3003	9832	99.09
m21038_251024_072723/256443568/ccs	0.999995	53.0103	3345	99.91
m21038_251024_072723/188809517/ccs	0.999994	52.2185	6815	98.93
m21038_251024_072723/60626523/ccs	0.999356	31.9111	14477	99.26
m21038_251024_072723/127468684/ccs	0.997376	25.8104	13474	99.17
m21038_250911_051612/92737967/ccs	0.999916	40.7572	12612	99.19
m21038_250911_051612/197133182/ccs	0.999869	38.8273	4251	98.42
m21038_251024_072723/9374958/ccs	0.999662	34.7108	12202	99.19
m21038_251024_072723/116066845/ccs	0.99517	23.1605	12777	99.52
m21038_251024_072723/123998192/ccs	0.999991	50.4576	8474	99.49
m21038_250911_051612/262145566/ccs	0.999373	32.0273	10368	99.60
m21038_250911_051612/78121928/ccs	0.999998	56.9897	3119	99.23
m21038_251024_072723/159122098/ccs	0.999017	30.0745	5628	99.56
m21038_250911_051612/266734036/ccs	0.999967	44.8149	7115	99.16
m21038_251024_072723/177276057/ccs	0.996778	24.9187	18257	99.11
m21038_250911_051612/264832083/ccs	0.999928	41.4267	6908	99.59
m21038_250911_051612/119735769/ccs	0.997199	25.5269	13324	99.71
m21038_250911_051612/25430564/ccs	0.999371	32.0135	6235	99.90
m21038_250911_051612/260114113/ccs	0.999865	38.6967	3519	99.03
m21038_250911_051612/38077684/ccs	1	60	5229	99.10
m21038_250911_051612/159978280/ccs	0.996925	25.1215	15979	99.71
m21038_251024_072723/133106790/ccs	0.998877	29.4962	12995	99.16
m21038_250911_051612/75765279/ccs	0.997571	26.1457	4642	99.87
m21038_251024_072723/126485337/ccs	0.998283	27.6523	4164	99.76
m21038_250911_051612/140706042/ccs	0.999985	48.2391	3394	99.76
m21038_250911_051612/45810270/ccs	0.998276	27.6346	19100	99.77
m21038_251024_072723/265945460/ccs	0.999613	34.1229	19336	98.82
m21038_250911_051612/76221976/ccs	0.999345	31.8376	21762	99.76
m21038_250911_051612/195560967/ccs	0.999814	37.3049	18370	99.74
m21038_250911_051612/36050542/ccs	1	60	3978	98.34
m21038_250911_051612/83624150/ccs	1	60	4230	98.42
m21038_251024_072723/193922352/ccs	0.999461	32.6841	8155	98.70
m21038_251024_072723/34670749/ccs	0.999999	60	6840	98.79
m21038_250911_051612/191236057/ccs	0.999995	53.0103	5128	99.16
m21038_250911_051612/65471429/ccs	0.999927	41.3668	8497	99.06
m21038_251024_072723/25694219/ccs	0.998702	28.8673	26851	99.71
m21038_251024_072723/193071803/ccs	0.999771	36.4016	20789	99.91
m21038_251024_072723/56558724/ccs	0.99917	30.8092	24953	99.92
m21038_251024_072723/79107556/ccs	0.997903	26.784	21595	99.89
m21038_251024_072723/105515233/ccs	0.998855	29.4119	27734	99.78
m21038_251024_072723/67044972/ccs	0.999814	37.3049	6934	99.96
m21038_251024_072723/163514401/ccs	0.999765	36.2893	25455	99.80
m21038_250911_051612/139792947/ccs	0.999624	34.2481	5451	97.39
m21038_251024_072723/72946272/ccs	0.9969	25.0864	29340	99.90
m21038_251024_072723/105320356/ccs	0.99957	33.6653	19994	99.90
m21038_251024_072723/91292032/ccs	0.999815	37.3283	21036	99.91
m21038_251024_072723/15601665/ccs	0.999895	39.7881	16910	99.85
m21038_251024_072723/239404296/ccs	0.998691	28.8306	21681	99.88
m21038_251024_072723/83695184/ccs	0.998841	29.3592	24439	99.88
m21038_250911_051612/10096883/ccs	0.999727	35.6384	7683	99.95
m21038_251024_072723/144310600/ccs	0.996712	24.8307	12465	99.90
m21038_251024_072723/185993512/ccs	0.99304	21.5739	22520	99.93
m21038_251024_072723/263456535/ccs	0.99953	33.279	22945	99.87
m21038_250911_051612/105382086/ccs	0.999994	52.2185	11652	99.95
m21038_250911_051612/157751113/ccs	0.999993	51.549	7549	99.95
m21038_250911_051612/95224008/ccs	0.999559	33.5556	17505	99.92
m21038_250911_051612/86447864/ccs	1	60	2855	99.96
m21038_250911_051612/132584938/ccs	0.999936	41.9382	5067	99.96
m21038_251024_072723/175768540/ccs	0.999834	37.7989	18742	99.90
m21038_251024_072723/266405142/ccs	0.998679	28.791	27438	99.84
m21038_250911_051612/131335525/ccs	0.999895	39.7881	6168	99.98
m21038_250911_051612/116462418/ccs	0.999934	41.8046	7111	99.99
m21038_250911_051612/78058017/ccs	0.999158	30.7469	13837	99.92
m21038_251024_072723/5965534/ccs	0.99999	50	8494	99.98
m21038_250911_051612/207424100/ccs	1	60	4261	99.98
m21038_250911_051612/19729690/ccs	0.9973	25.6864	22587	99.87
m21038_251024_072723/184812650/ccs	0.999997	55.2288	3899	100.00
m21038_251024_072723/61016150/ccs	0.999775	36.4782	15838	99.96
m21038_250911_051612/43584460/ccs	0.999424	32.3958	6701	99.97
m21038_250911_051612/125507415/ccs	0.998317	27.7392	17384	99.90
m21038_251024_072723/137626403/ccs	0.999728	35.6543	8146	99.95
m21038_250911_051612/128321737/ccs	0.997961	26.9058	22211	99.95
m21038_250911_051612/14814530/ccs	0.999504	33.0452	23474	99.88
m21038_250911_051612/154014857/ccs	0.999892	39.6658	2330	99.96
m21038_250911_051612/62980795/ccs	0.999863	38.6328	8105	99.95
m21038_251024_072723/21695339/ccs	0.998354	27.8357	4586	99.98
m21038_250911_051612/49746505/ccs	0.999398	32.204	4894	99.96
m21038_250911_051612/72745912/ccs	0.999658	34.6597	8557	99.87
m21038_251024_072723/87361099/ccs	1	60	5064	99.96
m21038_251024_072723/34800875/ccs	0.999624	34.2481	9823	99.95
m21038_250911_051612/5113023/ccs	0.999901	40.0436	10638	99.95
m21038_250911_051612/15863980/ccs	1	60	3775	99.97
m21038_251024_072723/263192797/ccs	0.999394	32.1753	19504	99.95
m21038_251024_072723/236128252/ccs	0.999992	50.9691	6877	99.96
m21038_250911_051612/242288360/ccs	0.999971	45.376	13492	99.88
m21038_250911_051612/90705773/ccs	0.999727	35.6384	19153	99.95
m21038_250911_051612/20906213/ccs	0.996614	24.7031	6904	99.94
m21038_251024_072723/23789993/ccs	0.99965	34.5593	8259	99.89
m21038_250911_051612/183174405/ccs	1	60	6483	99.88
m21038_251024_072723/126097079/ccs	0.999708	35.3462	23426	99.94
m21038_251024_072723/101056832/ccs	0.993395	21.8013	24151	99.83
m21038_251024_072723/5705609/ccs	0.998243	27.5523	4159	99.88
m21038_251024_072723/3344070/ccs	0.998898	29.5782	24907	99.94
m21038_250911_051612/233308711/ccs	0.999981	47.2125	2883	99.93
