read_id	rq	qv	read_length	iden
m21038_250917_082112/52233393/ccs	0.99167	20.7935	28129	99.12
m21038_250917_082112/234029265/ccs	0.998379	27.9022	26302	99.16
m21038_250917_082112/123475260/ccs	0.999933	41.7393	4969	98.92
m21038_250917_082112/104530692/ccs	0.996937	25.1385	16332	99.40
m21038_251018_074631/73403738/ccs	0.999386	32.1183	4809	98.99
m21038_251018_074631/125376220/ccs	0.999995	53.0103	4070	99.15
m21038_251018_074631/104533202/ccs	0.998584	28.4894	30407	99.29
m21038_250917_082112/33100567/ccs	0.999867	38.7615	18996	99.40
m21038_251018_074631/125571225/ccs	0.999704	35.2871	4742	99.89
m21038_251018_074631/113511632/ccs	0.99992	40.9691	8501	99.92
m21038_250917_082112/32968950/ccs	0.999411	32.2988	15223	99.74
m21038_250917_082112/131536487/ccs	1	60	7445	99.91
m21038_251018_074631/197329734/ccs	0.999927	41.3668	8944	98.50
m21038_250917_082112/150930349/ccs	0.999969	45.0864	10605	99.86
m21038_250917_082112/8786834/ccs	0.999998	56.9897	9967	99.59
m21038_250917_082112/47775982/ccs	0.997598	26.1943	14631	99.69
m21038_251018_074631/93590183/ccs	0.998451	28.0995	10013	99.10
m21038_250917_082112/8061643/ccs	0.999979	46.7778	6451	99.52
m21038_250917_082112/77006110/ccs	0.999988	49.2082	3214	99.60
m21038_250917_082112/222364236/ccs	0.99997	45.2288	7521	99.65
m21038_251018_074631/153551589/ccs	0.999967	44.8149	9351	99.60
m21038_251018_074631/99749743/ccs	0.999255	31.2784	26732	99.80
m21038_251018_074631/170852533/ccs	0.999934	41.8046	13161	99.47
m21038_250917_082112/94044375/ccs	0.999869	38.8273	7591	99.60
m21038_250917_082112/130487134/ccs	0.999976	46.1979	7322	99.66
m21038_251018_074631/203949259/ccs	1	60	4344	99.65
m21038_251018_074631/169346734/ccs	0.999322	31.6877	7247	99.65
m21038_250917_082112/15664880/ccs	1	60	5328	99.91
m21038_251018_074631/170132377/ccs	0.999998	56.9897	7467	99.24
m21038_251018_074631/35457541/ccs	0.99973	35.6864	3818	99.03
m21038_251018_074631/55182718/ccs	0.999994	52.2185	3108	98.93
m21038_250917_082112/88019963/ccs	0.999995	53.0103	5132	99.75
m21038_251018_074631/251987828/ccs	1	60	5209	99.71
m21038_251018_074631/54265823/ccs	0.997914	26.8069	13934	99.68
m21038_250917_082112/253494441/ccs	0.998806	29.23	5695	98.42
m21038_251018_074631/19795441/ccs	0.999978	46.5758	9050	98.62
m21038_250917_082112/247595713/ccs	0.999898	39.914	11418	99.68
m21038_251018_074631/165615267/ccs	0.998712	28.9008	8369	99.81
m21038_250917_082112/27460166/ccs	0.999972	45.5284	3341	99.31
m21038_251018_074631/18683762/ccs	0.999973	45.6864	11558	98.77
m21038_251018_074631/167643060/ccs	0.999988	49.2082	4782	99.39
m21038_250917_082112/113901971/ccs	0.995176	23.1659	6060	99.01
m21038_250917_082112/28775785/ccs	0.995693	23.6583	5308	99.08
m21038_251018_074631/63767781/ccs	0.99999	50	6118	99.02
m21038_251018_074631/177735936/ccs	0.998814	29.2592	28962	99.91
m21038_251018_074631/247530656/ccs	0.99911	30.5061	7489	99.93
m21038_251018_074631/107156427/ccs	0.996913	25.1046	37636	99.92
m21038_251018_074631/264765861/ccs	0.997811	26.5975	34774	99.92
m21038_250917_082112/35782941/ccs	0.990916	20.4172	12522	99.78
m21038_250917_082112/22023388/ccs	0.999402	32.233	8619	99.87
m21038_251018_074631/101515526/ccs	0.999881	39.2445	14880	99.91
m21038_250917_082112/70061883/ccs	0.992753	21.3984	20779	99.85
m21038_250917_082112/94635117/ccs	0.999575	33.7161	15812	99.94
m21038_250917_082112/76289311/ccs	0.99984	37.9588	12822	99.95
m21038_251018_074631/181667497/ccs	0.996848	25.0141	22391	99.92
m21038_251018_074631/152699443/ccs	0.999999	60	4642	99.94
m21038_251018_074631/107417426/ccs	0.999856	38.4164	8357	99.95
m21038_251018_074631/19269387/ccs	0.995323	23.3003	8115	99.84
m21038_250917_082112/51577827/ccs	0.997269	25.6368	16630	99.93
m21038_250917_082112/14685108/ccs	0.999921	41.0237	7381	99.95
m21038_251018_074631/106369721/ccs	0.999975	46.0206	15257	99.94
m21038_251018_074631/82774389/ccs	0.999527	33.2514	11929	99.95
m21038_251018_074631/30804344/ccs	0.99991	40.4576	18289	99.95
m21038_251018_074631/124782197/ccs	1	60	3751	99.95
m21038_251018_074631/86312851/ccs	1	60	4986	99.96
m21038_251018_074631/267060828/ccs	0.999991	50.4576	8533	99.95
m21038_251018_074631/36900489/ccs	0.997578	26.1583	18510	99.94
m21038_250917_082112/128910285/ccs	0.998255	27.582	10947	99.94
m21038_251018_074631/197918886/ccs	0.999877	39.1009	16495	99.95
m21038_251018_074631/38078887/ccs	0.994471	22.5735	19078	99.87
m21038_250917_082112/24186887/ccs	0.999866	38.729	7457	99.95
m21038_251018_074631/149558674/ccs	0.999673	34.8545	15451	99.95
m21038_250917_082112/101912487/ccs	1	60	3455	99.94
m21038_250917_082112/76875496/ccs	0.998123	27.2654	5716	99.93
m21038_251018_074631/168036181/ccs	0.99445	22.5571	7530	99.81
m21038_251018_074631/203817207/ccs	0.999684	35.0031	9403	99.94
m21038_251018_074631/9766256/ccs	1	60	7830	99.94
m21038_250917_082112/37884765/ccs	1	60	3120	99.94
m21038_251018_074631/185730603/ccs	0.999872	38.9279	4579	99.91
m21038_251018_074631/186845642/ccs	0.999632	34.3415	8782	99.93
m21038_251018_074631/14487189/ccs	0.999526	33.2422	7943	99.94
m21038_250917_082112/123999888/ccs	0.999974	45.8503	4948	99.94
m21038_250917_082112/155060588/ccs	0.999246	31.2263	21548	99.94
m21038_250917_082112/50267067/ccs	0.992826	21.4424	18097	99.92
m21038_250917_082112/10751972/ccs	0.998787	29.1614	24017	99.95
m21038_250917_082112/67965523/ccs	0.999971	45.376	8134	99.98
m21038_251018_074631/118625143/ccs	0.998097	27.2056	6025	99.98
m21038_251018_074631/124650372/ccs	0.999998	56.9897	6094	99.97
m21038_251018_074631/73859176/ccs	0.999884	39.3554	6516	99.98
m21038_251018_074631/24381994/ccs	0.998156	27.3424	7127	99.97
m21038_250917_082112/46399786/ccs	0.999931	41.6115	16343	99.95
m21038_251018_074631/125834258/ccs	0.999869	38.8273	14000	99.95
m21038_250917_082112/204147026/ccs	0.999995	53.0103	10114	99.94
m21038_250917_082112/123011715/ccs	0.999953	43.279	7855	99.94
m21038_251018_074631/212009065/ccs	0.999997	55.2288	7991	99.94
m21038_251018_074631/78515956/ccs	0.999988	49.2082	7658	99.93
m21038_250917_082112/119210397/ccs	0.998899	29.5821	25171	99.95
m21038_251018_074631/58985155/ccs	0.99991	40.4576	16144	99.94
m21038_251018_074631/90181511/ccs	0.999962	44.2022	10403	99.93
m21038_251018_074631/12517806/ccs	0.999997	55.2288	3493	99.89
m21038_251018_074631/140120009/ccs	1	60	2501	99.84
m21038_251018_074631/115608239/ccs	0.999981	47.2125	6310	99.92
m21038_250917_082112/147458974/ccs	0.99078	20.3527	32447	99.83
m21038_250917_082112/39390648/ccs	0.998991	29.9611	8297	99.93
m21038_250917_082112/16913378/ccs	0.995965	23.9416	18831	99.93
m21038_250917_082112/205717895/ccs	0.996946	25.1513	18233	99.94
m21038_251018_074631/59900275/ccs	0.991629	20.7722	16167	99.86
m21038_251018_074631/197067481/ccs	0.99999	50	6363	99.94
m21038_251018_074631/150736940/ccs	0.999999	60	5781	99.93
m21038_251018_074631/106959703/ccs	0.998583	28.4863	4179	99.90
m21038_250917_082112/105185397/ccs	0.998895	29.5664	13870	99.95
m21038_251018_074631/55378038/ccs	1	60	3420	99.91
m21038_251018_074631/127931978/ccs	0.996406	24.4442	20713	99.87
m21038_250917_082112/202638534/ccs	0.999795	36.8825	6217	99.94
m21038_251018_074631/86444133/ccs	0.999751	36.038	8136	99.95
m21038_251018_074631/47910395/ccs	0.998679	28.791	4003	99.93
m21038_250917_082112/72225257/ccs	0.999216	31.0568	4847	99.81
m21038_250917_082112/161743043/ccs	0.999998	56.9897	7467	99.97
m21038_250917_082112/116852146/ccs	0.999498	32.993	10451	99.98
m21038_250917_082112/8587919/ccs	0.999955	43.4679	4154	99.95
m21038_251018_074631/110170382/ccs	0.998073	27.1512	3454	99.94
m21038_251018_074631/51711165/ccs	0.999928	41.4267	8418	99.98
m21038_251018_074631/49418868/ccs	0.999963	44.318	11709	99.92
m21038_250917_082112/102826848/ccs	0.998748	29.024	7117	99.96
m21038_250917_082112/76615688/ccs	0.999976	46.1979	7354	99.97
m21038_250917_082112/118032128/ccs	0.999732	35.7187	27717	99.95
m21038_251018_074631/136119768/ccs	0.999651	34.5717	4472	99.98
m21038_250917_082112/95424718/ccs	0.99996	43.9794	7193	99.99
m21038_251018_074631/166989957/ccs	1	60	5198	100.00
m21038_251018_074631/85136609/ccs	0.99872	28.9279	3566	100.00
m21038_251018_074631/40112577/ccs	0.995251	23.234	19530	99.89
m21038_250917_082112/98042015/ccs	0.991659	20.7878	32002	99.86
m21038_250917_082112/28969534/ccs	0.998284	27.6548	4611	100.00
m21038_250917_082112/154207450/ccs	0.999699	35.2143	3949	100.00
m21038_251018_074631/208405085/ccs	0.998691	28.8306	26571	99.94
m21038_250917_082112/110630417/ccs	0.998126	27.2723	23618	99.94
m21038_251018_074631/149426931/ccs	0.99997	45.2288	7914	99.91
m21038_251018_074631/170921377/ccs	0.999377	32.0551	4309	100.00
m21038_251018_074631/110694743/ccs	0.99493	22.9499	30069	99.93
m21038_251018_074631/178917256/ccs	0.999937	42.0066	13284	99.87
m21038_251018_074631/3739368/ccs	0.99937	32.0066	29510	99.93
m21038_251018_074631/135663809/ccs	1	60	3360	99.79
m21038_251018_074631/38732537/ccs	0.997258	25.6193	22493	99.92
m21038_250917_082112/129304249/ccs	0.999889	39.5468	7314	99.43
m21038_251018_074631/161220683/ccs	0.99999	50	3843	99.97
m21038_251018_074631/74781572/ccs	0.999548	33.4486	5478	99.96
m21038_251018_074631/165414741/ccs	0.995468	23.4371	32915	99.50
m21038_250917_082112/111742108/ccs	0.997929	26.8382	5910	99.47
m21038_251018_074631/162139198/ccs	0.999991	50.4576	4502	99.96
m21038_251018_074631/247267740/ccs	0.999741	35.867	22155	99.62
m21038_250917_082112/90375799/ccs	0.99532	23.2975	5267	99.36
m21038_251018_074631/127271440/ccs	0.99854	28.3565	5609	99.44
m21038_250917_082112/47843653/ccs	0.999972	45.5284	6673	99.41
m21038_251018_074631/196281775/ccs	0.999858	38.4771	3096	98.76
m21038_251018_074631/69272584/ccs	1	60	2982	98.64
m21038_251018_074631/72876509/ccs	1	60	3760	99.95
m21038_251018_074631/112395893/ccs	0.999958	43.7675	9218	99.97
m21038_251018_074631/61543636/ccs	0.996986	25.2086	18257	99.57
m21038_251018_074631/249103450/ccs	0.991905	20.9178	17569	99.44
m21038_250917_082112/64487869/ccs	0.999985	48.2391	7376	99.96
m21038_250917_082112/19924984/ccs	0.998634	28.6455	31874	99.55
m21038_251018_074631/183766742/ccs	1	60	3866	99.95
m21038_250917_082112/181274702/ccs	0.999988	49.2082	4937	99.96
m21038_250917_082112/73862978/ccs	0.999849	38.2102	16962	99.97
m21038_251018_074631/131074622/ccs	0.999994	52.2185	5822	99.97
m21038_250917_082112/110691127/ccs	0.998621	28.6044	31440	99.69
m21038_250917_082112/115934680/ccs	0.999745	35.9346	17229	99.60
m21038_250917_082112/186058532/ccs	0.99883	29.3181	25861	99.66
m21038_251018_074631/119801815/ccs	0.999986	48.5387	4668	99.98
m21038_251018_074631/39650082/ccs	0.997814	26.6035	31209	99.56
m21038_251018_074631/82970843/ccs	0.997518	26.052	5489	99.98
m21038_250917_082112/108596199/ccs	0.998053	27.1063	3315	99.97
m21038_250917_082112/121505536/ccs	0.996233	24.24	24319	99.62
m21038_251018_074631/34016179/ccs	0.999084	30.381	4872	99.98
m21038_251018_074631/145036534/ccs	0.999979	46.7778	8437	99.95
m21038_250917_082112/39847174/ccs	0.99888	29.5078	30750	99.43
m21038_251018_074631/234949587/ccs	0.999913	40.6048	21535	99.68
m21038_250917_082112/189203201/ccs	0.999738	35.817	27011	99.70
m21038_250917_082112/178129105/ccs	0.999743	35.9007	21257	99.68
m21038_251018_074631/60359700/ccs	0.999559	33.5556	24979	99.94
m21038_251018_074631/126490373/ccs	0.999879	39.1721	18681	99.66
m21038_251018_074631/45682546/ccs	0.999828	37.6447	12584	99.57
m21038_250917_082112/192416342/ccs	0.999314	31.6368	21889	99.95
m21038_251018_074631/76285872/ccs	0.993208	21.68	21579	99.60
m21038_251018_074631/202508202/ccs	0.999589	33.8616	23405	99.69
m21038_251018_074631/98175678/ccs	0.993029	21.567	14222	99.50
m21038_251018_074631/165218275/ccs	0.999984	47.9588	5519	99.96
m21038_251018_074631/194251016/ccs	0.999888	39.5078	15978	99.96
m21038_251018_074631/249103778/ccs	0.999644	34.4855	21549	99.69
m21038_250917_082112/123933402/ccs	0.999043	30.1909	25963	99.56
m21038_251018_074631/32440944/ccs	0.997585	26.1708	16973	99.66
m21038_250917_082112/262930887/ccs	0.998997	29.987	24434	99.73
m21038_251018_074631/184029133/ccs	0.998721	28.9313	26485	99.70
m21038_251018_074631/126227257/ccs	0.999967	44.8149	15095	99.68
m21038_250917_082112/95884254/ccs	0.999302	31.5614	7304	99.96
m21038_250917_082112/45881170/ccs	0.999626	34.2713	20606	99.94
m21038_250917_082112/242419826/ccs	0.999386	32.1183	27917	99.58
m21038_251018_074631/178391011/ccs	0.996743	24.8718	27781	99.55
m21038_251018_074631/174461729/ccs	0.999929	41.4874	16258	99.70
m21038_250917_082112/261751655/ccs	0.99996	43.9794	12618	99.97
m21038_251018_074631/101126550/ccs	0.999678	34.9214	19712	99.34
m21038_250917_082112/40046954/ccs	0.998643	28.6742	27476	99.59
m21038_250917_082112/2491175/ccs	0.999518	33.1695	22760	99.58
m21038_250917_082112/94835911/ccs	0.99944	32.5181	13814	99.96
m21038_250917_082112/84284306/ccs	0.999917	40.8092	7026	99.53
m21038_251018_074631/248513833/ccs	0.999915	40.7058	10059	99.65
m21038_250917_082112/134744005/ccs	0.999784	36.6555	19763	99.75
m21038_251018_074631/262604697/ccs	0.999871	38.8941	19725	99.63
m21038_250917_082112/32183720/ccs	0.996493	24.5506	4750	99.43
m21038_250917_082112/62719989/ccs	0.99528	23.2606	20169	99.73
m21038_250917_082112/84545362/ccs	0.999985	48.2391	7018	99.96
m21038_251018_074631/148310938/ccs	0.999007	30.0305	20709	99.93
m21038_250917_082112/131859582/ccs	0.999958	43.7675	10903	99.72
m21038_250917_082112/148439253/ccs	0.99989	39.5861	8894	99.27
m21038_251018_074631/169411420/ccs	0.99838	27.9048	19810	99.59
m21038_250917_082112/8914716/ccs	0.999982	47.4473	4483	99.58
m21038_250917_082112/29562451/ccs	0.999561	33.5754	19290	99.63
m21038_250917_082112/257493340/ccs	0.999742	35.8838	19639	99.94
m21038_250917_082112/61997897/ccs	0.999297	31.5304	17287	99.94
m21038_250917_082112/118948082/ccs	0.9986	28.5387	8376	99.72
m21038_251018_074631/22545900/ccs	0.999498	32.993	17062	99.41
m21038_250917_082112/73597680/ccs	0.993743	22.0363	19949	99.53
m21038_250917_082112/40567229/ccs	1	60	6516	99.75
m21038_250917_082112/43520074/ccs	0.99997	45.2288	6501	99.78
m21038_250917_082112/199689341/ccs	0.999727	35.6384	16680	99.95
m21038_250917_082112/221905330/ccs	0.99999	50	9106	99.43
m21038_250917_082112/201591495/ccs	0.996439	24.4843	27504	99.60
m21038_251018_074631/266076929/ccs	0.999229	31.1295	31105	99.78
m21038_250917_082112/107152922/ccs	0.999987	48.8606	5544	99.30
m21038_251018_074631/104729114/ccs	0.998909	29.6218	7917	99.84
m21038_250917_082112/67702921/ccs	0.99988	39.2082	10137	99.41
m21038_250917_082112/127664536/ccs	0.999983	47.6955	8837	99.82
m21038_250917_082112/60036605/ccs	0.999697	35.1856	14639	99.95
m21038_250917_082112/91426442/ccs	0.99461	22.6841	5216	99.42
m21038_251018_074631/54460859/ccs	0.995226	23.2112	26894	99.56
m21038_250917_082112/252316560/ccs	0.999533	33.3068	22787	99.81
m21038_250917_082112/207948004/ccs	0.999788	36.7366	24496	99.59
m21038_250917_082112/59442314/ccs	0.999952	43.1876	6348	99.87
m21038_250917_082112/200083379/ccs	1	60	4278	99.86
m21038_251018_074631/187630619/ccs	0.999991	50.4576	4489	100.00
m21038_251018_074631/47974489/ccs	0.999941	42.2915	9211	99.86
m21038_251018_074631/238880858/ccs	0.993393	21.8	17627	99.48
m21038_250917_082112/37425473/ccs	0.999239	31.1862	15037	99.83
m21038_250917_082112/247398877/ccs	0.999913	40.6048	10468	99.89
m21038_250917_082112/143459431/ccs	0.99994	42.2185	14767	99.61
m21038_251018_074631/51976023/ccs	0.99951	33.098	25699	99.59
m21038_250917_082112/58590657/ccs	0.999276	31.4026	21559	99.60
m21038_251018_074631/91229774/ccs	0.992332	21.1532	20264	99.50
m21038_251018_074631/114295900/ccs	0.999631	34.3297	10809	99.88
m21038_250917_082112/187236963/ccs	0.999997	55.2288	9930	99.60
m21038_250917_082112/96736672/ccs	0.996141	24.1353	6459	99.61
m21038_250917_082112/210504268/ccs	0.999979	46.7778	8183	99.89
m21038_251018_074631/120062493/ccs	0.999796	36.9037	19337	99.63
m21038_251018_074631/213977744/ccs	1	60	4698	99.94
m21038_250917_082112/22282741/ccs	0.997454	25.9414	3976	99.54
m21038_250917_082112/53675725/ccs	0.998694	28.8406	17638	99.63
m21038_251018_074631/83365791/ccs	0.999447	32.5727	2836	99.93
m21038_250917_082112/15402983/ccs	1	60	4179	99.93
m21038_251018_074631/78971534/ccs	0.999639	34.4249	4312	100.00
m21038_250917_082112/259197274/ccs	0.999992	50.9691	4896	99.88
m21038_251018_074631/22218265/ccs	0.998591	28.5109	12964	99.86
m21038_251018_074631/176559371/ccs	1	60	7430	99.91
m21038_251018_074631/169607422/ccs	0.996002	23.9816	8956	99.85
m21038_250917_082112/24577513/ccs	0.999707	35.3313	4964	99.98
m21038_250917_082112/52891563/ccs	0.995242	23.2258	8318	99.92
m21038_251018_074631/122618953/ccs	0.99989	39.5861	9228	99.86
m21038_251018_074631/102500574/ccs	0.999858	38.4771	20568	99.91
m21038_251018_074631/85920362/ccs	1	60	4769	99.90
m21038_251018_074631/15141365/ccs	0.999767	36.3264	3590	99.97
m21038_250917_082112/53416315/ccs	0.99956	33.5655	6224	99.77
m21038_251018_074631/7408886/ccs	1	60	3701	99.86
m21038_250917_082112/54198370/ccs	0.999547	33.439	19471	99.91
