platform,sample,yield_bp,instrument
ONT,YKF157,39793543361,PromethION
ONT,YKF158,49820405530,PromethION
ONT,YKP075,71112211929,PromethION
ONT,YKF187,65853436123,PromethION
ONT,YKF188,55311739463,PromethION
ONT,YKP086,70839732882,PromethION
ONT,YKF205,94170190701,PromethION
ONT,YKF206,85828788175,PromethION
ONT,YKP095,69931710886,PromethION
ONT,YKF203,63528443562,PromethION
ONT,YKF204,72248839294,PromethION
ONT,YKP094,48689020431,PromethION
ONT,HG002,54882380164,PromethION
ONT,HG003,83597049939,PromethION
ONT,HG004,65851091119,PromethION
ONT,YKF157,49256154554,PromethION
ONT,YKF158,51351236808,PromethION
ONT,YKP075,74230566772,PromethION
ONT,YKF187,62158156538,PromethION
ONT,YKF188,69980945499,PromethION
ONT,YKP086,85078618950,PromethION
ONT,YKF205,103711863222,PromethION
ONT,YKF206,106158264273,PromethION
ONT,YKP095,53012766020,PromethION
ONT,YKF203,55307859606,PromethION
ONT,YKF204,36955202771,PromethION
ONT,YKP094,49685237856,PromethION
ONT,HG002,72844318753,PromethION
ONT,HG003,77548081331,PromethION
ONT,HG004,68070760836,PromethION
PacBio,HG002,101059000000,Revio
PacBio,HG003,99128870520,Revio
PacBio,HG004,102154000000,Revio
PacBio,YKP086,64913682316,Vega
PacBio,YKF187,64913327372,Vega
PacBio,YKF188,64924237067,Vega
PacBio,YKP075,64920511033,Vega
PacBio,YKF157,64915967568,Vega
PacBio,YKF158,60901528468,Vega
PacBio,YKF205,64908922994,Vega
PacBio,YKF206,64910369141,Vega
PacBio,YKP095,64923624186,Vega
PacBio,YKF203,64932314751,Vega
PacBio,YKF204,64910738337,Vega
PacBio,YKP094,64931585027,Vega
PacBio,YKP086,64921957037,Vega
PacBio,YKF187,64928201715,Vega
PacBio,YKF188,64925988119,Vega
PacBio,YKP075,64930086265,Vega
PacBio,YKF158,58966577452,Vega
PacBio,YKF206,64927761232,Vega
PacBio,YKP095,64917526111,Vega
PacBio,YKF203,54077190949,Vega
PacBio,YKF204,64914866502,Vega
PacBio,YKP094,64935371238,Vega
PacBio,YKF157,64939159853,Vega
PacBio,YKF205,64929967348,Vega
