filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PBG63936_97c56afe_ea890032_13.pod5	f5b5e961-603d-41d2-abd8-72a52e64f3f1	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1835	1	9917.08	69.1494	9917.08	69.1474	31485	23.3185	unclassified	chr1	10000	38371	3033	31479	+	28608	28209	28061	237	162	148	60	0.903478	0.994753	0.980879	0
PBG63936_97c56afe_ea890032_20.pod5	a874a7bb-67e8-4d2b-adc7-61847d140e7c	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2893	4	15708.5	68.4626	15708.5	68.4606	27775	27.9322	unclassified	chr1	10000	34852	2205	27775	+	25639	24783	24646	787	69	137	34	0.920612	0.994472	0.96127	0
PBG63936_97c56afe_ea890032_21.pod5	2b8a3e94-e719-406a-aab8-2ce90440af29	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1056	4	11378.4	128.07	11378.4	128.068	37466	14.0237	unclassified	chr1	10000	43569	2703	36830	+	34642	33054	32398	1073	515	656	14	0.910879	0.980154	0.935223	0
PBG63936_97c56afe_ea890032_32.pod5	1c984c07-6bcb-4fc7-9f08-6d366702e8c7	ea890032c0387f3c2d4d00fa478dd0c7f420c878	941	1	25219	74.2968	25219	74.2948	30023	23.8798	unclassified	chr1	10000	37182	2803	30016	+	27334	27061	26838	152	121	223	60	0.906405	0.991759	0.981854	0
PBG63936_97c56afe_ea890032_43.pod5	0d2e9229-801e-455e-9e67-24622d3798dc	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1665	2	36944.7	87.4244	36944.8	87.3444	36876	24.3714	unclassified	chr1	10000	42383	4405	36876	+	32645	32209	31978	262	174	231	1	0.880546	0.992828	0.979568	0
PBG63936_97c56afe_ea890032_50.pod5	a57641f6-e2d9-49f6-89fa-b157edd52eea	ea890032c0387f3c2d4d00fa478dd0c7f420c878	943	4	34174.4	130.382	34174.6	130.228	52439	28.1886	unclassified	chr1	10000	57842	4444	52439	+	48117	47720	47491	275	122	229	7	0.915254	0.995201	0.98699	0
PBG63936_97c56afe_ea890032_107.pod5	51bb1a9b-1b2d-41d7-a003-79788c4c6a0b	ea890032c0387f3c2d4d00fa478dd0c7f420c878	165	2	128049	65.2398	128049	65.2378	25322	22.3009	unclassified	chr1	10000	33284	1327	25322	+	24102	23177	22995	818	107	182	40	0.947595	0.992147	0.95407	0
PBG63936_97c56afe_ea890032_77.pod5	200cb6fd-6216-4e80-b2b6-22f7d244eb7d	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2985	1	86525	87.8034	86525	87.8014	36227	21.2526	unclassified	chr1	10000	42986	2928	36221	+	33412	32867	32687	426	119	180	60	0.919011	0.994523	0.978301	0
PBG63936_97c56afe_ea890032_125.pod5	b60962d5-6f05-4622-9228-3d04f21eb975	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1460	1	191077	50.6954	191077	50.6934	21049	23.4276	unclassified	chr1	10000	28788	2195	21041	+	18899	18735	18602	111	53	133	60	0.895339	0.992901	0.984285	0
PBG63936_97c56afe_ea890032_13.pod5	d2bf0d4f-d565-4538-a740-9f6e9f567e8d	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1835	1	9846.85	70.214	9846.95	70.1124	31524	23.5378	unclassified	chr1	10000	38369	3021	31523	-	28631	28240	28113	262	129	127	60	0.904137	0.995503	0.981908	0
PBG63936_97c56afe_ea890032_62.pod5	e9063761-9bcf-4233-9b37-541a31ec8d91	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1849	4	66754.2	63.6356	66754.3	63.5112	25026	24.5608	unclassified	chr1	10000	29982	4872	25026	-	20209	19927	19827	227	55	100	60	0.805322	0.994982	0.981098	0
PBG63936_97c56afe_ea890032_68.pod5	205b5177-aaee-45c8-a8fe-b9110ad9ca1b	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1088	1	78074.7	59.3972	78074.8	59.2356	24733	24.7101	unclassified	chr1	10000	30453	4183	24733	-	20667	20336	20215	214	117	121	49	0.830874	0.99405	0.978129	0
PBG63936_97c56afe_ea890032_83.pod5	acf73a3e-e96d-4ee8-b00f-5cfb74c60da9	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1281	2	93979.4	35.9588	93979.6	35.8368	12876	28.9836	unclassified	chr1	10000	21423	1317	12876	-	11579	11403	11317	156	20	86	58	0.897717	0.992458	0.977373	0
PBG63936_97c56afe_ea890032_117.pod5	177aa114-a10b-4764-89f2-74b871b1213d	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1335	3	161753	42.944	161753	42.8328	17476	23.6181	unclassified	chr1	10000	26928	466	17476	-	17045	16893	16774	117	35	119	60	0.973335	0.992956	0.984101	0
PBG63936_97c56afe_ea890032_117.pod5	9440b295-ffb5-4b7d-8a0f-41c45a1d185b	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2973	3	163400	76.7376	163400	76.7356	23238	15.8355	unclassified	chr1	10000	29176	3020	23190	-	20257	19089	18972	1081	87	117	45	0.867975	0.993871	0.936565	0
PBG63936_97c56afe_ea890032_78.pod5	3da0eba1-9f6b-4db9-8663-78c1ecd95e6d	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2099	2	87769.5	1.7456	87769.5	1.7436	595	19.728	unclassified	chr1	10005	10468	29	513	+	494	453	453	31	10	0	1	0.813445	1	0.917004	0
PBG63936_97c56afe_ea890032_75.pod5	94064bc4-223f-486f-b9da-056f9bdd7fe4	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2806	2	84945.9	71.8866	84945.9	71.8846	30523	24.8615	unclassified	chr1	10108	35194	5281	30516	+	25310	25011	24892	224	75	119	56	0.826754	0.995242	0.983485	0
PBG63936_97c56afe_ea890032_30.pod5	730fb4fb-917b-4bbe-8657-99943a4ab5c5	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2155	1	22884	64.7936	22884.2	64.5936	27853	24.5562	unclassified	chr1	10264	27413	10537	27845	+	17336	17121	17019	187	28	102	53	0.621405	0.994042	0.981714	0
PBG63936_97c56afe_ea890032_36.pod5	4f5d8fba-6cfb-4370-af2b-78d556c6d24b	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1439	1	29308	91.9316	29308.1	91.8372	34109	22.5567	unclassified	chr1	10264	38511	5721	34108	+	28502	28132	27994	255	115	138	60	0.832244	0.995095	0.982177	0
PBG63936_97c56afe_ea890032_60.pod5	54b1920f-c73d-4452-b960-048b3ab7508e	ea890032c0387f3c2d4d00fa478dd0c7f420c878	936	2	45596.4	167.146	45596.6	167.011	49998	26.2	unclassified	chr1	10264	50251	9847	49998	-	40226	39912	39752	239	75	160	29	0.803052	0.995991	0.988217	0
PBG63936_97c56afe_ea890032_1.pod5	84985255-528c-4f13-91da-87dc3d629c1c	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2389	3	1757.78	68.297	1757.78	68.295	26997	25.5028	unclassified	chr1	10319	26530	10693	26997	+	16393	16122	16039	182	89	83	55	0.603919	0.994852	0.978405	0
PBG63936_97c56afe_ea890032_41.pod5	403dccaa-986a-4822-8824-3c7985bffab0	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1642	1	34748.7	91.0904	34748.8	90.996	35951	16.9428	unclassified	chr1	10319	39219	7000	35951	+	29073	28778	28594	173	122	184	13	0.805291	0.993606	0.983524	0
PBG63936_97c56afe_ea890032_14.pod5	2d80df6a-17ea-4101-a2fd-a47f4053996c	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1058	2	10874.5	77.5916	10874.6	77.4444	27276	25.9123	unclassified	chr1	10319	31330	6173	27276	-	21198	20916	20821	187	95	95	3	0.773684	0.995458	0.982215	0
PBG63936_97c56afe_ea890032_62.pod5	6894d509-eb9a-4358-a383-c1e7b35a24a2	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2545	4	66266.3	79.7072	66266.4	79.5744	31819	25.6547	unclassified	chr1	10319	36216	5838	31819	-	26091	25787	25682	194	110	105	49	0.816525	0.995928	0.984324	0
PBG63936_97c56afe_ea890032_115.pod5	35c9a7ac-d753-4bee-a9cc-4e4608ae2bd7	ea890032c0387f3c2d4d00fa478dd0c7f420c878	701	1	153692	105.687	153692	105.605	43006	26.183	unclassified	chr1	10349	42043	11075	42949	+	31937	31631	31438	243	63	193	1	0.741152	0.993898	0.984375	0
PBG63936_97c56afe_ea890032_26.pod5	542b2bcc-3b50-403f-bf5f-3c353914458a	ea890032c0387f3c2d4d00fa478dd0c7f420c878	724	3	20461.9	83.9876	20462.1	83.8344	29464	25.9973	unclassified	chr1	10349	34498	5132	29464	-	24385	24096	23922	236	53	174	1	0.825821	0.992779	0.981013	0
PBG63936_97c56afe_ea890032_27.pod5	7e17367a-e5f2-4484-96d0-559a4efb96b6	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2324	1	21133.7	84.854	21133.8	84.69	32706	15.4931	unclassified	chr1	10349	35839	5717	32706	-	27043	25436	25265	1553	54	171	4	0.8252	0.993277	0.934253	0
PBG63936_97c56afe_ea890032_103.pod5	5c068b44-f3d4-4992-8bd1-903130ab25ea	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1010	1	121801	68.5892	121801	68.4804	30682	26.3777	unclassified	chr1	10463	33386	7702	30676	+	23033	22864	22696	110	59	168	39	0.748778	0.992652	0.985369	0
PBG63936_97c56afe_ea890032_69.pod5	d62d19ce-7d4e-4ae3-89c4-998a3d79d3ba	ea890032c0387f3c2d4d00fa478dd0c7f420c878	911	1	79236.9	57.8896	79236.9	57.8876	25922	26.0578	unclassified	chr1	10463	26974	9314	25915	+	16629	16483	16378	118	28	105	48	0.640421	0.99363	0.984906	0
PBG63936_97c56afe_ea890032_113.pod5	27a1eaef-3637-4c22-adb7-a644cc59cc16	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1797	3	147570	43.5344	147570	43.428	19618	21.9477	unclassified	chr1	10463	24647	5351	19612	+	14314	14131	14007	130	53	124	38	0.726934	0.991225	0.978552	0
PBG63936_97c56afe_ea890032_113.pod5	9a90f151-ddb2-44d6-b68b-1c9b1b53101b	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1797	3	147518	51.7148	147518	51.5916	19635	24.212	unclassified	chr1	10463	24648	5361	19635	-	14296	14163	14052	111	22	111	29	0.726967	0.992163	0.982932	0
PBG63936_97c56afe_ea890032_26.pod5	68501aa1-3e63-43a2-8d7b-4c03e4a48189	ea890032c0387f3c2d4d00fa478dd0c7f420c878	900	1	20255.9	78.68	20256	78.5988	20654	9.22379	unclassified	chr1	10498	21882	9133	20654	-	11600	11305	11160	216	79	145	18	0.55781	0.987174	0.962069	0
PBG63936_97c56afe_ea890032_61.pod5	c9f629f2-953d-4d50-9580-fb933624ca47	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1217	3	63707.4	76.9412	63707.5	76.8228	30358	27.2441	unclassified	chr1	10627	40851	156	30352	+	30261	30159	30011	37	65	148	60	0.994664	0.995093	0.991739	0
PBG63936_97c56afe_ea890032_107.pod5	92571a44-8ddf-4baa-8e9c-1f003af853dd	ea890032c0387f3c2d4d00fa478dd0c7f420c878	165	2	128114	60.8984	128114	60.7332	25262	19.3186	unclassified	chr1	10627	34813	1032	25262	-	24385	24031	23839	199	155	192	60	0.959148	0.99201	0.977609	0
PBG63936_97c56afe_ea890032_108.pod5	d3638cd1-5177-4eb4-abb3-b162395c5674	ea890032c0387f3c2d4d00fa478dd0c7f420c878	557	4	131059	12.548	131059	12.4344	5473	22.252	unclassified	chr1	10878	16360	5	5473	-	5506	5444	5383	24	38	61	34	0.999086	0.988795	0.977661	0
PBG63936_97c56afe_ea890032_108.pod5	53577bf4-078a-430e-b269-fca2fcf15184	ea890032c0387f3c2d4d00fa478dd0c7f420c878	557	4	131046	12.1376	131047	12.0432	5462	26.0717	unclassified	chr1	10879	16361	0	5457	+	5490	5449	5392	8	33	57	31	0.999085	0.989539	0.982149	0
PBG63936_97c56afe_ea890032_48.pod5	741445cb-a08f-4d33-835a-966184a3d93d	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2126	4	43537	34.946	43537.1	34.8588	14294	12.6094	unclassified	chr1	10898	23813	0	12908	+	12950	12873	12785	35	42	88	60	0.903036	0.993164	0.987259	0
PBG63936_97c56afe_ea890032_47.pod5	7fee26c5-96fc-43d0-bd38-4c819fa97384	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2378	4	42352.1	3.1808	42352.2	3.0408	1186	35.7797	unclassified	chr1	11669	12848	7	1186	-	1179	1179	1179	0	0	0	0	0.994098	1	1	0
PBG63936_97c56afe_ea890032_82.pod5	9cf04a76-f7da-4714-9074-b197a032c9c3	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1342	1	92982	0.909	92982	0.907	326	8.57506	unclassified	chr1	11706	11927	89	314	-	232	214	199	11	7	15	0	0.690184	0.929907	0.857759	0
PBG63936_97c56afe_ea890032_31.pod5	26c9a633-f817-4932-b6ff-cd7d300d6334	ea890032c0387f3c2d4d00fa478dd0c7f420c878	845	2	24054.1	44.652	24054.1	44.65	18523	24.665	unclassified	chr1	12012	30515	6	18492	-	18527	18462	18385	24	41	77	60	0.998002	0.995829	0.992335	0
PBG63936_97c56afe_ea890032_30.pod5	66692249-52c4-4f7e-905b-862b8b78a3bf	ea890032c0387f3c2d4d00fa478dd0c7f420c878	36	3	23426.5	39.3752	23426.7	39.204	14907	28.95	unclassified	chr1	12241	27150	2	14907	-	14926	14888	14837	17	21	51	60	0.999866	0.996574	0.994037	0
PBG63936_97c56afe_ea890032_82.pod5	75884faf-b877-40c4-89fe-63d8e6ca11ef	ea890032c0387f3c2d4d00fa478dd0c7f420c878	1342	1	92979.6	1.3264	92979.6	1.3244	469	7.17126	unclassified	chr1	12423	12876	0	457	-	491	419	387	38	34	32	0	0.974414	0.923628	0.788187	0
PBG63936_97c56afe_ea890032_44.pod5	33892bd1-fa83-427f-b59b-aa8e95ee5f58	ea890032c0387f3c2d4d00fa478dd0c7f420c878	573	2	37213.9	36.0836	37214.1	35.9028	14156	25.3785	unclassified	chr1	12502	26664	0	14156	-	14185	14133	14091	23	29	42	60	1	0.997028	0.993373	0
PBG63936_97c56afe_ea890032_56.pod5	3fd126bd-112d-4da3-868b-914821be0daf	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2222	1	54211.6	40.2548	54211.6	40.2528	15628	26.6112	unclassified	chr1	12539	28143	36	15627	+	15623	15572	15501	19	32	71	60	0.997632	0.995441	0.992191	0
PBG63936_97c56afe_ea890032_56.pod5	1bb3ccd6-4da8-4855-bed1-22c7782a2557	ea890032c0387f3c2d4d00fa478dd0c7f420c878	2473	2	55118	25.9868	55118.1	25.8732	9887	27.9426	unclassified	chr1	12665	22551	0	9887	+	9902	9871	9828	16	15	43	60	1	0.995644	0.992527	0
PBG63936_97c56afe_ea890032_59.pod5	f294b520-c011-43d4-a537-835affb85bee	ea890032c0387f3c2d4d00fa478dd0c7f420c878	602	2	61377	39.556	61377	39.554	15288	26.2671	unclassified	chr1	12800	28085	21	15288	+	15305	15247	15180	20	38	67	60	0.998626	0.995606	0.991833	0
