filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PBE62253_skip_9d8de194_94a31e0b_37.pod5	776890fc-6570-421e-98f9-6e953e1c5a74	94a31e0b3732106207c0b307a445c20d576954b4	1877	3	27059.2	2.204	27059.4	2.052	781	22.9025	unclassified	chr4	12057782	12058352	0	573	+	573	570	570	3	0	0	60	0.733675	1	0.994764	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	0437e4cf-4b50-4d2e-b070-7a1ebe6e2696	94a31e0b3732106207c0b307a445c20d576954b4	276	1	27044.8	13.6184	27045	13.4832	4939	24.7644	unclassified	chr19	23629306	23634242	5	4939	-	4945	4925	4899	9	11	26	60	0.998988	0.994721	0.990698	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	224fb19b-1355-4d6d-af95-004f11f1c4c6	94a31e0b3732106207c0b307a445c20d576954b4	1088	1	27050.8	10.2694	27050.8	10.2674	1869	3.13004	unclassified	chr19	56538765	56538892	178	302	-	132	119	114	5	8	5	1	0.0663456	0.957983	0.863636	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	8013b1a8-e95b-45a4-9e9a-cd4f53ef6d76	94a31e0b3732106207c0b307a445c20d576954b4	1324	3	27050.1	8.6072	27050.3	8.4552	4732	24.3461	unclassified	chr7	16752723	16757454	6	4732	-	4738	4719	4713	7	12	6	60	0.998732	0.998729	0.994723	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	00303b20-6910-4bcc-a168-c21c426fa539	94a31e0b3732106207c0b307a445c20d576954b4	2606	4	27049.2	8.4584	27049.4	8.34	3170	31.4542	unclassified	chr10	81536147	81539311	3	3170	-	3170	3161	3159	6	3	2	60	0.999054	0.999367	0.99653	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	ec1eefcf-0557-4601-8c3c-0c9d71e4e65b	94a31e0b3732106207c0b307a445c20d576954b4	1334	4	27055.2	4.1948	27055.3	4.062	1601	31.3797	unclassified	chr1	149398809	149400406	6	1601	-	1598	1594	1592	1	3	2	60	0.996252	0.998745	0.996245	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	1e4d00cc-e3f6-43e0-b820-26a746abf6b4	94a31e0b3732106207c0b307a445c20d576954b4	2881	4	27059.3	2.3552	27059.5	2.2368	1005	17.2019	unclassified	chr10	32648632	32649504	134	1005	-	879	864	856	7	8	8	60	0.866667	0.990741	0.973834	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	333fcaa2-57f6-4c80-89b9-3188872b8cd4	94a31e0b3732106207c0b307a445c20d576954b4	1838	3	27057	1.8872	27057.1	1.752	586	25.5382	unclassified	chrX	22942435	22943009	0	575	+	575	574	571	1	0	3	60	0.981229	0.994774	0.993043	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	ed3fcbf1-81ab-43fe-b35a-23b59c051d1d	94a31e0b3732106207c0b307a445c20d576954b4	1946	2	27064.6	1.8344	27064.8	1.7112	629	21.3401	unclassified	chr6	145016970	145017464	129	629	-	500	494	492	6	0	2	60	0.794913	0.995951	0.984	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	4b34f46c-df5f-4573-818a-dd5acafd13d4	94a31e0b3732106207c0b307a445c20d576954b4	1074	4	27063.5	1.862	27063.6	1.7508	658	25.0528	unclassified	chr12	42775736	42776387	0	647	+	651	647	641	0	4	6	60	0.983283	0.990726	0.984639	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	d6685bb1-117e-4b8f-b504-bfbe18e0defb	94a31e0b3732106207c0b307a445c20d576954b4	2366	3	27060.2	1.91	27060.4	1.7316	712	30.1041	unclassified	chr9	104327498	104328210	0	712	+	712	712	712	0	0	0	60	1	1	1	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	3f1e749e-bf71-4c9a-8f77-4ef916e245a1	94a31e0b3732106207c0b307a445c20d576954b4	2529	1	27052.8	6.56	27052.9	6.4488	2552	28.85	unclassified	chr8	130155249	130157796	5	2552	-	2547	2547	2546	0	0	1	60	0.998041	0.999607	0.999607	0
PBE62253_skip_9d8de194_94a31e0b_37.pod5	85b39164-8296-40f3-970a-6d2c9d6e3e59	94a31e0b3732106207c0b307a445c20d576954b4	535	1	27064.8	2.3408	27064.9	2.2392	901	33.0292	unclassified	chr7	51025694	51026596	0	901	-	902	901	900	0	1	1	60	1	0.99889	0.997783	0
