filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PBE62146_skip_1f47e940_86fa3a23_25.pod5	6d5ea412-1b59-4dd3-b6b7-65461846c445	86fa3a23034ac4d64733bd929ae4595285b3e5bc	1187	4	18698.5	3.4586	18698.5	3.4566	1691	26.205	unclassified	chr9	137616568	137618260	0	1691	-	1692	1691	1681	0	1	10	60	1	0.994086	0.993499	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	61816f9a-7458-4922-858c-94be47bb1b50	86fa3a23034ac4d64733bd929ae4595285b3e5bc	1868	1	18693.4	4.2092	18693.6	4.062	1743	27.6193	unclassified	chr10	22985085	22986734	0	1651	+	1651	1649	1648	2	0	1	60	0.947217	0.999394	0.998183	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	63882b9d-bb3b-457c-8655-a060fd62f164	86fa3a23034ac4d64733bd929ae4595285b3e5bc	326	4	18686.9	10.8032	18686.9	10.8012	3427	23.1377	unclassified	chr6	40267773	40271167	9	3403	-	3399	3389	3375	5	5	14	60	0.990371	0.995869	0.992939	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	235616a0-8eec-41b5-9572-a7db4c6afceb	86fa3a23034ac4d64733bd929ae4595285b3e5bc	1705	2	18703.5	3.386	18703.6	3.2544	1310	25.4682	unclassified	chr2	114796377	114797677	8	1310	-	1302	1300	1290	2	0	10	60	0.993893	0.992308	0.990783	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	7ea83cc9-107a-4026-a85b-828043733bf5	86fa3a23034ac4d64733bd929ae4595285b3e5bc	206	1	18700	5.276	18700.1	5.1456	1930	32.6503	unclassified	chr3	91997212	91999140	0	1928	+	1928	1928	1921	0	0	7	12	0.998964	0.996369	0.996369	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	fb7ccdde-2054-463c-9a8a-b37798e763f5	86fa3a23034ac4d64733bd929ae4595285b3e5bc	398	2	18694.5	6.3558	18694.5	6.3538	2509	21.4329	unclassified	chrY	3963956	3966189	238	2483	-	2254	2224	2221	21	9	3	60	0.894779	0.998651	0.985359	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	7fd58cd6-e990-4fd3-88fb-be6c48d307e8	86fa3a23034ac4d64733bd929ae4595285b3e5bc	2488	4	18695.8	1.4408	18695.9	1.3608	612	19.2518	unclassified	chr2	105361035	105361629	0	594	+	594	594	593	0	0	1	60	0.970588	0.998317	0.998317	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	67fd19ae-6138-4585-9fd9-60f75d3bc8c6	86fa3a23034ac4d64733bd929ae4595285b3e5bc	844	3	18701.6	1.418	18701.6	1.416	573	19.697	unclassified	chr6	79545552	79546090	32	570	+	538	538	535	0	0	3	60	0.938918	0.994424	0.994424	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	84d5bbe5-30d7-4f7f-a89a-ca4dc5f90236	86fa3a23034ac4d64733bd929ae4595285b3e5bc	2352	2	18700.8	1.8968	18700.9	1.8024	720	27.4174	unclassified	chr16	72510143	72510863	0	720	+	720	720	720	0	0	0	60	1	1	1	0
PBE62146_skip_1f47e940_86fa3a23_25.pod5	ac854e4c-0097-4141-9149-adfce4acf12c	86fa3a23034ac4d64733bd929ae4595285b3e5bc	844	3	18697.6	1.544	18697.8	1.392	582	19.3059	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
